Date,Value
1392/12/27,78968.1
1392/12/28,79015.4
1393/01/05,79013.5
1393/01/06,78619.4
1393/01/09,78239.7
1393/01/10,78469.2
1393/01/11,78741.3
1393/01/16,78547.7
1393/01/17,77634.7
1393/01/18,77418.6
1393/01/19,77817.5
1393/01/20,77423.9
1393/01/23,76501.8
1393/01/24,74920.7
1393/01/25,73973.4
1393/01/26,73847.6
1393/01/27,74161.2
1393/01/30,73637.8
1393/01/31,74160
1393/02/01,75035.3
1393/02/02,75735.2
1393/02/03,75980.5
1393/02/06,77404.1
1393/02/07,77923.6
1393/02/08,78131.1
1393/02/09,78151.3
1393/02/10,78164.3
1393/02/13,77939
1393/02/14,77569.2
1393/02/15,77763.8
1393/02/16,77717.3
1393/02/17,77752.4
1393/02/20,77931
1393/02/21,77734.2
1393/02/22,77596.4
1393/02/24,77610.2
1393/02/27,76901.8
1393/02/28,76987.5
1393/02/29,76528.9
1393/02/30,76634.4
1393/02/31,76767.6
1393/03/03,76703.9
1393/03/04,76394.2
1393/03/05,76212
1393/03/07,76067.8
1393/03/10,75687.1
1393/03/11,74543.4
1393/03/12,74735.9
1393/03/13,75102.8
1393/03/17,75329.5
1393/03/18,75353.5
1393/03/19,75240.5
1393/03/20,74836.7
1393/03/21,74499.1
1393/03/24,73516
1393/03/25,72631.8
1393/03/26,72748.8
1393/03/27,72638
1393/03/28,72873.1
1393/03/31,72969
1393/04/01,72900.8
1393/04/02,72544.9
1393/04/03,72344.4
1393/04/04,72249.9
1393/04/07,71662
1393/04/08,70970.3
1393/04/09,70341.5
1393/04/10,70423
1393/04/11,70876.6
1393/04/14,72162.2
1393/04/15,71960.2
1393/04/16,71916.6
1393/04/17,73025
1393/04/18,73416.4
1393/04/21,73555.9
1393/04/22,73226.2
1393/04/23,73347.4
1393/04/24,73457.9
1393/04/25,73754.2
1393/04/29,73750.2
1393/04/30,73890.5
1393/04/31,74526.1
1393/05/01,74841.6
1393/05/04,74840.3
1393/05/05,74848
1393/05/06,74997.6
1393/05/11,74841
1393/05/12,74637.4
1393/05/13,74709.2
1393/05/14,74697.5
1393/05/15,74613.8
1393/05/18,74398.6
1393/05/19,74398.9
1393/05/20,74547.5
1393/05/21,74455.1
1393/05/22,74363
1393/05/25,74051
1393/05/26,73952.6
1393/05/27,73906.8
1393/05/28,73902.6
1393/05/29,73905.7
1393/06/01,73868
1393/06/02,73529.5
1393/06/03,73499.9
1393/06/04,73540.9
1393/06/05,73312.2
1393/06/08,72941.8
1393/06/09,72778.4
1393/06/10,72339.8
1393/06/11,72232.4
1393/06/12,72121.5
1393/06/15,71822.4
1393/06/16,71665.4
1393/06/17,71815.2
1393/06/18,71930.1
1393/06/19,71925.4
1393/06/22,71486
1393/06/23,71386.7
1393/06/24,71402.3
1393/06/25,71408.3
1393/06/26,71443.6
1393/06/29,71445
1393/06/30,71545.3
1393/06/31,71685.8
1393/07/01,71726.5
1393/07/02,71788.1
1393/07/05,71702.2
1393/07/06,71643.7
1393/07/07,71675.2
1393/07/08,71664
1393/07/09,71640.5
1393/07/12,71670.1
1393/07/14,71821.5
1393/07/15,71718.9
1393/07/16,71783.7
1393/07/19,71771.7
1393/07/20,71791.5
1393/07/22,71893.1
1393/07/23,71978.6
1393/07/26,72016.5
1393/07/27,72281
1393/07/28,73550.4
1393/07/29,74109.1
1393/07/30,74132.8
1393/08/03,74152
1393/08/04,73940.8
1393/08/05,73958.9
1393/08/06,73967.8
1393/08/07,74151.1
1393/08/10,75028
1393/08/11,75368.6
1393/08/14,76166.6
1393/08/17,76420.5
1393/08/18,76553.4
1393/08/19,76560.8
1393/08/20,76708
1393/08/21,76589.4
1393/08/24,75946.5
1393/08/25,75930.8
1393/08/26,75965.9
1393/08/27,75409.4
1393/08/28,75248.4
1393/09/01,75042.6
1393/09/02,75389.6
1393/09/03,75949
1393/09/04,74740.9
1393/09/05,74076.1
1393/09/08,73245.1
1393/09/09,72189.5
1393/09/10,72120.7
1393/09/11,72258.5
1393/09/12,71860.2
1393/09/15,71712
1393/09/16,71170
1393/09/17,71376.6
1393/09/18,71381.7
1393/09/19,71043
1393/09/23,70291.6
