Date,News,Label
1392/12/27,رأی هیأت تجدیدنظر شورای رقابت در مورد واگذاری هلدینگ خلیج فارس صادر شد بلوک ۱۷ درصدی سهام هلدینگ پتروشیمی خلیج فارس فردا در بورس عرضه می‌شود شاخص بورس به ارتفاع ۷۹ هزار واحد نزدیک شد ۲۸ میلیون سهم پست بانک در بورس خصوصی شد خصوصی سازی برای واگذاری استقلال و پرسپولیس شرط گذاشت پالایش و پژوهش خون با قیمت ۱۵۵ میلیارد تومان خصوصی شد کارنامه بورس در سال ۹۲ و برنامه‌های هفتگانه برای ۹۳ تاکید دوباره خادم بر واگذاری استقلال و پرسپولیس به پیشکسوتان عرضه اولیه سهام پاکشو فردا در بورس انجام می‌شود‌ شورای عالی بورس با تأسیس صندوق‌های زمین و ساختمان، و پروژه موافقت کرد,0
1392/12/28,سهام شرکت فولاد ارفع در فرابورس عرضه شد بلوک ۱۷ درصدی سهام هلدینگ پتروشیمی خلیج فارس فروش رفت,1
1393/01/05,شروع معاملات بورس کالا با دادوستد ورق قلع اندود معامله یک هزار و ۲۴۷ میلیارد ریال سهم در نخستین روز ۹۳ بورس با احتیاط وارد سال ۹۳ شد بازگشایی و توقف نماد ۱۸ شرکت در اولین روز معاملاتی سال جدید بورس ۹۲ از نگاه ۱۴ مسئول و کارشناس بازار سرمایه فرآورده‌های نفتی و پتروشیمی ۵ تولیدکننده در بورس کالا عرضه می‌شود حداقل سرمایه تشکیل صندوق‌های سرمایه‌گذاری ۴ برابر شد ایده‌های نوین برای صکوک,0
1393/01/06,محصولات ۸ مجتمع تولیدکننده محصولات پتروشیمی و قیر معامله شد دولتی‌ها بورس را از مسیر خود خارج نکنند ۱۰۵ هزار میلیارد ریال سهم دولتی در بورس فروخته شد اعطای تسهیلات بانکی به شرکت‌های در حال واگذاری مشروط شد ادامه سرمازدگی شاخص در روزهای بهاری بورس عرضه های اولیه سهام در سال جدید شتاب می گیرد سازمان خصوصی‌سازی موظف به واریز سود سهام عدالت به خزانه شد فرآورده های نفتی و پتروشیمی در بورس کالا عرضه می‌شود بازار داراییهای فکری و صندوقهای مخاطره پذیر به زودی در فرابورس راه اندازی می‌شود ۵ میلیون کارگر فصلی کشور سهام عدالت دریافت می‌کنند سقوط شاخص به ارتفاع ۷۸ هزار واحد بازگشایی نماد سه شرکت با محدودیت دامنه نوسان قیمت,0
1393/01/09,معاملات بورس در اسفند گذشته ۴۹ درصد افزایش یافت افت شاخص بورس برای سومین روز متوالی در سال جدید سود هر سهم ارتباطات سیار ایران ۱۲۶۲ تومان پیش‌بینی شد ساعات معاملات آتی سکه در روزهای ۵ تا ۱۱ فروردین ۹۳ تغییر کرد عرضه ۶۵۰۰ تن انواع محصولات پتروشیمی و کشاورزی در بورس کالا,0
1393/01/10,نخستین روز مثبت بورس در سال ۹۳ رقم خورد تکالیف خصوصی سازی در قانون بودجه سال ۱۳۹۳ کل کشور,1
1393/01/11,تعرفه‌های جدید گاز تاثیری بر وضعیت پتروشیمی در بورس ندارد رشد ۲۷۲ واحدی شاخص در پنجمین روز معاملاتی امسال هدفمندی یارانه‌ها، بزرگترین آزمون بورس در سال ۹۳ رفتارهای هیجانی در بورس نتیجه بخش نیست بازگشت بانک تجارت به بورس پس از سه هفته غیبت ۳۵ هزار تن انواع کالا در بورس کالا عرضه می شود,1
1393/01/16,قیمت پایه هر بشکه نفت خام در بورس انرژی؛ ۳۰۶ هزار تومان دستورالعمل جدید حمایت و ترغیب سرمایه‌گذاری در شهرکهای صنعتی شاخص بورس هفته سوم امسال را با کاهش شروع کرد مظنه مدیران همراه اولی برای سود سهام سال ۹۲ چند است؟ ۵۰ درصد برق مصرفی کشور در بورس انرژی دادوستد می‌شود ۱۰۰ درصد سهام زغال سنگ البرز شرقی عرضه می‌شود عرضه زعفران، کنجاله سویا و کلزا در بورس کالا,0
1393/01/17,اولین خریداران نفت خام ایران در بورس مشخص شد هنوز تفاهمی بر فروش اوراق سلف نفتی نشده است شاخص بورس ۹۱۳ واحد افت کرد نخستین بشکه‌های نفت خام در بورس انرژی معامله شد ورود سازمان خصوصی سازی، واگذاری سرخابی را عقب انداخت ایراد مجلس به پاداش‌ قابل‌توجه اعضای هیات مدیره شرکتهای سرمایه گذاری سهام عدالت عقبگرد شاخص بورس به ارتفاع ۷۷ هزار واحد حراج حضوری نفت خام در بورس انرژی، تا ساعتی دیگر بازگشت بورس به روند صعودی از اواسط هفته جاری ساختار سرمایه‌گذاری در بورس تسهیل می شود کشتیرانی دریای خزر اولین عرضه اولیه سهام در سال ۹۳ واگذاری سهام ۳ شرکت دولتی در سبد نخستین ماه سال ۹۳,0
1393/01/18,"معامله بیش از ۸۳۳ میلیارد ریال اوراق در فرابورس ششمین روز منفی بورس در سال ۹۳ به ثبت رسید سهمیه ۵۰۰ سهمی برای خریداران آنلاین ""حخزر"" هر سهم کشتیرانی دریای خزر ۵۳۵۰ ریال کشف قیمت شد",0
