Date,News
1403/05/22,مجمع سرمایه‌گذاری سهام عدالت کردستان لغو شد
1403/05/22,گزارش روزانه بورس ۲۲ مرداد/ ۵۰۰ سهم در صف فروش
1403/05/21,جزئیات پذیرش‌های جدید بورس کالا اعلام شد
1403/05/21,شاخص بورس افت کرد
1403/05/21,پذیره‌نویسی الکترونیکی حق‌تقدم ۱۵ ناشر در ۴ ماه
1403/05/21,معامله یک میلیون و ۹۷۵ هزار تن محصول در بورس کالا
1403/05/20,پرداخت ۶ هزار میلیارد تومان سود به سهامداران از طریق سجام
1403/05/20,شاخص بورس هزار واحد رشد کرد
1403/05/20,افزایش جزئی نرخ بهره بین بانکی+جدول
1403/05/20,۵۵ هزار سهامدار در سجام ثبت‌نام کردند
1403/05/19,اصلاح زیر ساخت های بازار سرمایه در دستور کار دولت چهارهم
1403/05/19,نوسان ۱ درصدی بورس در هفته آینده هم ادامه دارد
1403/05/17,سقوط بورس های جهان/ اقتصاد جهانی در مسیر رکود افتاد؟
1403/05/17,بازار سرمایه روز چهارشنبه تعطیل است
1403/05/16,احتمال ازدست‌رفتن ارتفاع ۲میلیونی شاخص بورس
1403/05/16,اصلاح دستورالعمل تاسیس و فعالیت گروه خدمات بازار سرمایه
1403/05/16,درخواست اعتبار ۵۰ همتی عشقی از خاندوزی برای حمایت بورس
1403/05/16,لزوم تعیین تکلیف اصلاح قانون بازار اوراق بهادار
1403/05/16,دلایل ریزش‌های اخیر بازار سرمایه چیست؟
1403/05/16,تصمیم‌گیری در مورد واگذاری بنگاههای دولتی به روش اجاره
1403/05/16,زمان برگزاری مجامع سرمایه‌گذاری سهام عدالت ۳ استان‌ اعلام شد
1403/05/15,نامه به معاون اول پزشکیان در خصوص وضعیت بورس
1403/05/15,سقوط ۲۲ درصدی شاخص بورس ژاپن در ۱ ماه
1403/05/15,ویترین تسنیم شماره ۷۲۱
1403/05/15,اعلام جزئیات تصمیمات چهارمین جلسه شورای تأمین مالی
1403/05/15,حجم ﻣﺒﻨﺎی ﻧﻤﺎدﻫﺎی ﻓﺮاﺑﻮرسی تا اطلاع ثانوی حذف شد
1403/05/14,چرا چهره بورس ترسناک شده؟
1403/05/14,زمان مجمع سرمایه‌گذاری سهام عدالت کرمانشاه مشخص شد
1403/05/14,ناظران مجلس در شورای عالی بورس مشخص شدند
1403/05/14,تأمین مالی ۱۰۷ همتی دولت با انتشار اوراق نقدی از ابتدای سال
1403/05/14,برگزاری جلسه کمیته مدیریت و نظارت بر انتشار اوراق دولتی
1403/05/14,۳.۴ میلیون سهامدار، ۲ هزار میلیارد تومان سود گرفتند
1403/05/14,نرخ اخزا به زیر ۳۰ درصد رسید
1403/05/14,افزایش حجم مبنا به‌جای تغییر دامنه/ دستکاری بازار اشتباه است
1403/05/14,دادوستد ۱۳۴ هزار میلیارد تومان فرابورس در هفته گذشته
1403/05/14,دامنه نوسان ۱ درصدی؛ تصمیم لازمی که دیر گرفته شد
1403/05/13,صدور ۷۵ کد سهامداری برای سرمایه‌گذاران خارجی
1403/05/13,گزارش روزانه بورس ۱۳ مرداد/ سقوط ۶۱ هزار واحدی شاخص کل
1403/05/13,حجم اوراق منتشر شده از ۱۰۰۰ همت گذشت
1403/05/13,موافقت کمیته فقهی با توسعه ابزارهای مالی در بورس کالا
1403/05/13,جزئیات پذیرش‌های جدید بورس کالا اعلام شد
1403/05/13,کاهش نرخ بهره بین‌بانکی/ نرخ سود ۲۳.۵۷درصد شد
1403/05/10,شارژ ۶۰۰ میلیارد تومانی بورس توسط صندوق توسعه ملی
1403/05/10,گزارش روزانه بورس ۱۰مرداد/ریزش ۵۲ هزار واحدی شاخص کل
1403/05/10,دستور معاون اول رئیس جمهور برای حمایت از بورس
1403/05/10,سازمان بورس: موتور مجامع سرمایه‌گذاری سهام عدالت روشن شد
1403/05/10,"انتقال سهام عدالت متوفیان به وراث ""رایگان"" است"
1403/05/10,آب گران برای صنایع بورسی
1403/05/10,"کاهش قیمت ""استقلال"" شتاب می‌گیرد/خواب سنگین سهامداران عمده"
1403/05/09,معاملات اوراق سلف ارزی در بورس راه اندازی می شود
1403/05/09,امکان تسویه طلا با اوراق سلف ارزی در بورس کالا فراهم شد
1403/05/09,مشارکت ۷۲ درصدی در مجمع سرمایه‌گذاری اصفهان
1403/05/08,حکم ۳ شرکت متخلف در عدم پرداخت سود سهام عدالت صادر شد
1403/05/08,رشد ۳۵ درصدی درآمد عملیاتی صنایع کوچک در بهار امسال
1403/05/08,شاخص بورس ترمز برید/ ریزش ۲۹ هزار واحدی نماگر
1403/05/08,برگزاری مجمع سرمایه‌گذاری خراسان جنوبی، ۴شنبه این هفته
1403/05/08,خبری از واریز سود مرحله سوم سهام عدالت نیست
1403/05/06,بورس فردا تعطیل است
1403/05/06,تامین مالی ۷۳ همتی دولت از طریق انتشار اوراق نقدی
1403/05/06,دستگاه‌های دولتی مانع واگذاری و مولدسازی دارایی‌های مازاد
1403/05/06,۴ میلیون سهامدار، ۸ هزار میلیارد تومان سود دریافت کردند
1403/05/06,رشد ۱۲۶ درصدی ارزش معاملات اوراق گواهی تسهیلات مسکن
1403/05/06,شاخص بورس ۱۴هزار واحد افت کرد
1403/05/06,مجمع سرمایه‌گذاری سهام عدالت اصفهان برگزار شد
1403/05/06,معاملات امروز بازار سرمایه طبق روال عادی انجام می‌شود
1403/05/06,معامله ۸۰۰ کیلوگرم شمش طلا در تیر امسال
1403/05/06,جزئیات تولید صنایع بورسی در بهار؛کاهش ۴ درصدی تولید خودرو
1403/05/05,شرکت‌های بورسی به حذف قیمت‌گذاری دستوری ملزم می‌شوند
1403/05/03,مجمع سرمایه‌گذاری سهام عدالت استان قم، بی‌نتیجه ماند
1403/05/03,شاخص بورس ۲هزار واحد افت کرد
1403/05/03,اصلاح نصاب سپرده‌های بانکی و اوراق دولتی از شهریور ماه
1403/05/03,مجمع سرمایه‌گذاری سهام عدالت اصفهان، فردا برگزار می‌شود
1403/05/02,شاخص بورس ۸ هزار واحد رشد کرد
1403/05/02,اختصاصی/ برآورد نرخ ۵هزارتومانی خوراک پتروشیمی‌ها
1403/05/02,کاهش زمان افزایش سرمایه شرکت‌های بورسی از یک سال به ۳ ماه
1403/05/02,احتمال کاهش‌ ۱۵ تا ۳۰ درصدی نرخ‌ خوراک پتروشیمی‌ها
1403/05/02,اطلاعات واگذاری بلوک دولتی پالایش نفت شازند منتشر شد
1403/05/02,بلوک دولتی یک شرکت فولادی واگذار می‌شود
1403/05/02,اعلام مصوبات کمیته تخصصی مولدسازی دارایی‌های دولت
1403/05/02,مجمع سرمایه‌گذاری سهام عدالت استان قم، فردا برگزار می‌شود
1403/05/02,حمایت ۹ همتی صندوق تثبیت از بازار سرمایه در ۴ ماه
1403/05/02,۵۵۰۰میلیارد تومان سود سهام عدالت در جیب ۴ شرکت
1403/05/02,سازمان بورس به پتروشیمی‌ها درباره نرخ خوراک نامه زد
1403/05/02,الزام مخابرات به تسویه اصل بدهی و خسارت تأخیر سود سهام عدالت
1403/05/02,مصوبه افزایش نرخ خوراک پتروشیمی‌ها ابطال شد
1403/05/02,نصاب سرمایه‌گذاری صندوق‌ها در اوراق مالی اسلامی کاهش یافت
1403/05/01,شاخص بورس ۳ هزار واحد افت کرد
1403/05/01,زمان مجمع سرمایه‌گذاری سهام عدالت کرمان مشخص شد
1403/05/01,اطلاعات واگذاری یک شرکت ساختمانی منتشر شد
1403/05/01,انتشار گزارش تولید و فروش صنایع مهم بورس در خرداد
1403/05/01,تغییر حجم مبنای ۵ شرکت در فرابورس
1403/04/31,تامین مالی ۷۱ همتی دولت از طریق انتشار اوراق نقدی
1403/04/31,اعلام شرط دریافت سود سهام عدالت متوفیان توسط وراث
1403/04/31,اعلام جزئیات شانزدهمین رویداد صنعت مالی در دولت چهاردهم
1403/04/31,معامله بیش از ۲.۲ میلیون تن محصول در بورس کالا
1403/04/31,پرداخت ۴۱۸ میلیارد تومان سود به سهامداران از طریق سجام
1403/04/30,نحوه محاسبه مالیات بر ارث سهامداران بورس اصلاح شد + سند
1403/04/30,نرخ بهره بین بانکی ۲۳.۶۳ درصد شد+جدول
1403/04/29,استفاده از تامین مالی خارجی در پروژه های بالادستی انرژی
1403/04/27,چهار شرکت سود سهام عدالت را واریز نکرده‌اند
1403/04/27,شاخص بورس به رشد ۱۵۰۰ واحدی بسنده کرد
1403/04/27,جزئیات خرید سیمان نهضت ملی مسکن از بورس کالا
1403/04/24,دعوت اعضای بانک بریکس به شانزدهمین رویداد صنعت مالی ایران
1403/04/24,فراخوان درباره «اصلاحات دستورالعمل انتشار اوراق مرابحه»
1403/04/24,رشد ناچیز شاخص بورس
1403/04/24,یک میلیون سهامدار از طریق سجام سود گرفتند
1403/04/24,تعداد صندوق‌های قابل معامله سهامی در بورس افزایش یافت
1403/04/24,بورس با ادبیات دستوری احیا نمی‌شود
1403/04/24,مدرن‌ترین پالایشگاه خاورمیانه در بازار سرمایه پذیرش شد
1403/04/24,رشد ۲.۱ درصدی شاخص فرابورس در هفته گذشته
1403/04/23,شاخص بورس ۹ هزار واحد افت کرد
1403/04/23,کاهش جزئی نرخ بهره بین بانکی+جدول
1403/04/23,خرید سهام استقلال، ۵ همت هزینه روی دست پتروشیمی‌ها گذاشت
1403/04/23,بلوک ۶.۲۲ درصدی صنایع پتروشیمی خلیج فارس واگذار می‌شود
1403/04/23,مجمع سرمایه‌گذاری سهام عدالت استان مرکزی برگزار شد
1403/04/23,بازار سرمایه نیازمند تحول کارشناسی است
1403/04/23,تامین مالی ۶۷.۸ هزار میلیارد تومانی دولت از محل اوراق نقدی
1403/04/23,توصیه نماینده مجلس به دولت جدید در خصوص بورس
1403/04/23,بررسی موضوعات سهام عدالت در شورای‌عالی بورس
1403/04/21,فرزین خبرداد:امکان انتشار یک میلیارد یورو اوراق ارزی در بورس
1403/04/20,رونق بهاری بورس/ ارزش کل مبادلات در ۴ بورس به ۵۵۰۰ همت رسید
1403/04/20,بلوکه‌شدن ۶هزار میلیارد تومان سود سهام عدالت توسط ۳ شرکت
1403/04/20,زمان مجمع سرمایه‌گذاری سهام عدالت کردستان مشخص شد
1403/04/20,سه پالایشگاه و دو شرکت دولتی در فرابورس پذیرش می‌شوند
1403/04/20,نحوه عرضه محصولات در بورس کالا ابلاغ شد
1403/04/20,صدور ۱۲۹۵ گواهی تمکن مالی الکترونیک از ابتدای سال + مزایا
1403/04/19,شاخص بورس ۴هزار واحد افت کرد
1403/04/19,نمایش سابقه حجم و قیمت سهام در بازار توافقی برای عموم
1403/04/19,جزییات تسویه معاملات کالایی در بهار ۱۴۰۳ اعلام شد
1403/04/19,سومین عرضه اولیه امسال بازار سرمایه کشف قیمت شد
1403/04/19,بررسی املاک مازاد ۴ استان در کمیته تخصصی مولدسازی
1403/04/19,تحلیل آخرین گزارش وضعیت کل‌های پولی
1403/04/18,شاخص بورس ۵ هزار واحد افت کرد
1403/04/18,سومین عرضه اولیه امسال بورس امروز انجام می‌شود
1403/04/18,پرداخت ۱۳۰۰ میلیارد تومان سود به سهامداران از طریق سجام
1403/04/18,سیمان در صدر معاملات بورس کالا
1403/04/17,استقلال ۵۱ روز قفل در صف فروش/ سهامداران عمده بی‌تفاوت!
1403/04/17,شاخص بورس ۳۷ هزار واحد رشد کرد
1403/04/17,بیمه سهام، ابزاری برای تقویت بازار سرمایه
1403/04/17,ارزش بازار فرابورس به ۲.۳ میلیون میلیارد تومان رسید
1403/04/16,فروش ۵۷هزار میلیارد تومان اوراق نقدی دولت
1403/04/16,شاخص بورس با رشد ۸۸هزار واحدی مواجه شد
1403/04/16,شرایط خرید ۴۰ کامیونت فورس در بورس کالا ابلاغ شد
1403/04/16,جزئیات پذیرش‌های جدید بورس کالا اعلام شد
1403/04/16,نرخ سود بین بانکی کاهشی شد+جدول
1403/04/16,معامله ۲۹.۴ میلیارد تومان انواع کالا و محصول در بورس کالا
1403/04/13,شاخص بورس با رشد ۱۰ هزار واحدی مواجه شد
1403/04/13,یادواره شانزدهمین نمایشگاه صنعت مالی کشور رونمایی شد
1403/04/13,رشد ۱.۸ درصدی شاخص تولید صنایع بورسی در اردیبهشت ماه
1403/04/13,زمان سومین عرضه اولیه سال مشخص شد
1403/04/12,انتشار اوراق وکالت کلید خورد
1403/04/12,کاندیداها از طرح مباحث التهاب آفرین در بورس پرهیز کنند
1403/04/12,شاخص بورس ۱۵هزار واحد رشد کرد
1403/04/12,مجوز عرضه ۱۲۵ میلیون مترمکعب گاز در بورس انرژی صادر شد
1403/04/12,آمادگی راه‌اندازی بازار گاز ایران در بورس انرژی
1403/04/12,آغاز معاملات گواهی صرفه‌جویی گازطبیعی در بورس انرژی
1403/04/12,بررسی واگذاری نیم درصد دو شرکت بورسی به آستان قدس رضوی
1403/04/12,جزئیات مصوبات جلسه کمیته تخصصی مولدسازی دارایی‌های دولت
1403/04/11,مجازات حبس و جزای نقدی برای ۵ متهم به دستکاری دربورس
1403/04/11,چرا مجمع سرمایه‌گذاری سهام عدالت استان ایلام لغو شد?
1403/04/11,۲۶۰ هزار سهامدار سجامی شدند
1403/04/11,شاخص بورس ۲هزار واحد رشد کرد
1403/04/11,آیین‌نامه نحوه تاسیس و فعالیت صندوق‌های تضمین بررسی شد
1403/04/11,درآمد ۴۶،۵۸۳ میلیارد تومانی دولت از فروش اوراق نقدی
1403/04/11,دومین عرضه اولیه فرابورس کشف قیمت شد
1403/04/10,مجمع سرمایه‌گذاری سهام عدالت استان ایلام لغو شد
1403/04/10,مجمع سرمایه‌گذاری سهام عدالت اصفهان برگزار می‌شود
1403/04/10,شرایط خرید کامیون در بورس کالا ابلاغ شد
